timestamp, aqi, co, h, no2, o3, pm10, pm25, t
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 18:56:12, 84, 49, 63, 47, 43, 84, 77, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 19:37:26, 84, 49, 63, 47, 43, 84, 77, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 19:56:14, 84, 49, 63, 47, 43, 84, 77, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 20:37:29, 84, 49, 63, 47, 43, 84, 77, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 20:56:17, 84, 49, 60, 47, 43, 84, 77, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 21:37:31, 84, 49, 60, 47, 43, 84, 77, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 21:56:19, 84, 49, 60, 47, 43, 84, 77, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 22:37:33, 84, 49, 60, 47, 43, 84, 77, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 22:56:22, 84, 49, 60, 47, 43, 84, 77, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 23:37:36, 84, 49, 62, 47, 43, 84, 77, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 23:56:24, 84, 49, 62, 47, 43, 84, 77, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 00:37:39, 84, 49, 62, 47, 43, 84, 77, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 00:56:27, 84, 49, 62, 47, 43, 84, 77, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 01:37:41, 84, 49, 62, 47, 43, 84, 77, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 01:56:29, 84, 49, 62, 47, 43, 84, 77, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 02:37:43, 84, 49, 62, 47, 43, 84, 77, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 02:56:31, 84, 49, 75, 47, 43, 84, 77, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 03:37:47, 84, 49, 75, 47, 43, 84, 77, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 03:56:34, 84, 49, 75, 47, 43, 84, 77, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 04:37:50, 84, 49, 75, 47, 43, 84, 77, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 04:56:36, 84, 49, 75, 47, 43, 84, 77, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 05:37:52, 84, 49, 75, 47, 43, 84, 77, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 05:56:39, 84, 49, 75, 47, 43, 84, 77, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 06:37:54, 84, 49, 75, 47, 43, 84, 77, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
