timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 17:56:09, 61, 61, 63, 18, 20, 58, 55, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 18:37:23, 61, 61, 63, 18, 20, 58, 55, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 18:56:11, 61, 61, 63, 18, 20, 58, 55, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 19:37:26, 61, 61, 63, 18, 20, 58, 55, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 19:56:14, 61, 61, 63, 18, 20, 58, 55, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 20:37:28, 61, 61, 63, 18, 20, 58, 55, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 20:56:17, 61, 61, 60, 18, 20, 58, 55, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 21:37:31, 61, 61, 60, 18, 20, 58, 55, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 21:56:19, 61, 61, 60, 18, 20, 58, 55, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 22:37:33, 61, 61, 60, 18, 20, 58, 55, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 22:56:22, 61, 61, 60, 18, 20, 58, 55, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 23:37:36, 61, 61, 62, 18, 20, 58, 55, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 23:56:24, 61, 61, 62, 18, 20, 58, 55, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 00:37:38, 61, 61, 62, 18, 20, 58, 55, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 00:56:26, 61, 61, 62, 18, 20, 58, 55, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 01:37:41, 61, 61, 62, 18, 20, 58, 55, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 01:56:29, 61, 61, 62, 18, 20, 58, 55, 25.79
