timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 09:39:02, 122, 52, 43, 78, 13, 109, 122, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 09:57:46, 122, 52, 43, 78, 13, 109, 122, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 10:39:04, 125, 52, 43, 81, 14, 110, 125, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 10:57:49, 127, 52, 43, 81, 16, 110, 127, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 11:39:06, 127, 52, 43, 81, 16, 110, 127, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 11:57:51, 126, 52, 46, 81, 16, 110, 126, 30.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 12:39:09, 125, 56, 46, 81, 17, 110, 125, 30.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 12:57:53, 125, 56, 46, 81, 17, 110, 125, 30.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 13:39:11, 125, 56, 46, 81, 17, 110, 125, 30.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 13:57:56, 125, 56, 46, 81, 17, 110, 125, 30.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 14:39:14, 125, 56, 44, 81, 17, 110, 125, 28.42
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 14:57:59, 125, 56, 44, 81, 17, 110, 125, 28.42
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 15:39:16, 125, 56, 44, 81, 17, 110, 125, 28.42
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 15:58:01, 125, 56, 44, 81, 17, 110, 125, 28.42
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 16:39:18, 125, 56, 44, 81, 17, 110, 125, 28.42
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 16:58:08, 125, 56, 44, 81, 17, 110, 125, 28.42
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 17:39:21, 125, 56, 50, 81, 17, 110, 125, 27.3
