timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 14:56:02, 44, 44, 63, 34, 24, 39, 35, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 15:56:04, 44, 44, 63, 34, 24, 39, 35, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 16:56:07, 44, 44, 63, 34, 24, 39, 35, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 17:37:21, 44, 44, 63, 34, 24, 39, 35, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 17:56:09, 44, 44, 63, 34, 24, 39, 35, 26.34
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 18:37:24, 44, 44, 63, 34, 24, 39, 35, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 18:56:12, 44, 44, 63, 34, 24, 39, 35, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 19:37:27, 44, 44, 63, 34, 24, 39, 35, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 19:56:15, 44, 44, 63, 34, 24, 39, 35, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 20:37:29, 44, 44, 63, 34, 24, 39, 35, 26.26
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 20:56:17, 44, 44, 60, 34, 24, 39, 35, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 21:37:32, 44, 44, 60, 34, 24, 39, 35, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 21:56:20, 44, 44, 60, 34, 24, 39, 35, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 22:37:34, 44, 44, 60, 34, 24, 39, 35, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 22:56:22, 44, 44, 60, 34, 24, 39, 35, 26.39
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 23:37:37, 44, 44, 62, 34, 24, 39, 35, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-02 23:56:25, 44, 44, 62, 34, 24, 39, 35, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 00:37:39, 44, 44, 62, 34, 24, 39, 35, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 00:56:27, 44, 44, 62, 34, 24, 39, 35, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 01:37:42, 44, 44, 62, 34, 24, 39, 35, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 01:56:29, 44, 44, 62, 34, 24, 39, 35, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 02:37:45, 44, 44, 62, 34, 24, 39, 35, 25.79
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 02:56:32, 44, 44, 75, 34, 24, 39, 35, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 03:37:48, 44, 44, 75, 34, 24, 39, 35, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 03:56:34, 44, 44, 75, 34, 24, 39, 35, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 04:37:50, 44, 44, 75, 34, 24, 39, 35, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 04:56:37, 44, 44, 75, 34, 24, 39, 35, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 05:37:53, 44, 44, 75, 34, 24, 39, 35, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 05:56:39, 44, 44, 75, 34, 24, 39, 35, 26.41
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 06:37:55, 45, 44, 56, 34, 28, 45, 40, 31.08
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 06:56:42, 45, 44, 56, 34, 28, 45, 40, 31.08
